acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.530518,0.166260,0.808105,-2.664122,-2.297710,-1.809160
0.537354,0.162109,0.798096,-2.664122,-1.076336,-1.015267
0.535645,0.161133,0.794189,-2.618321,-1.030534,-0.923664
0.527832,0.160889,0.789551,-2.549618,-0.984733,-0.801527
0.523682,0.151855,0.843262,-7.206107,-2.236641,0.702290
0.529053,0.108643,0.798340,-2.580153,-2.946565,-1.503817
0.556641,0.167725,0.804932,-3.335878,-0.358779,-1.396947
0.547607,0.154297,0.797363,-2.541985,-0.656489,-2.687023
0.552490,0.161133,0.798584,-3.183206,0.328244,-2.534351
0.550049,0.153564,0.806885,-3.450382,0.946565,-2.885496
0.548340,0.158691,0.817383,-3.206107,0.824427,-3.244275
0.535889,0.158691,0.805420,-2.877863,-0.641221,-3.045802
0.545410,0.155762,0.812256,-2.801527,-2.015267,-2.908397
0.542969,0.153564,0.802734,-2.633588,-2.297710,-2.992366
0.539795,0.149902,0.816162,-2.282443,-2.877863,-2.877863
0.549072,0.150146,0.812988,-2.167939,-2.374046,-2.480916
0.551758,0.154053,0.797119,-1.671756,-1.961832,-2.396947
0.566406,0.151611,0.794189,-1.793893,0.603053,-3.435115
0.555664,0.146240,0.803955,-1.725191,-0.129771,-3.748092
0.560791,0.147461,0.806641,-1.229008,0.145038,-4.625954
0.561035,0.147949,0.817139,-0.282443,-0.748092,-5.465649
0.565186,0.151367,0.804932,0.221374,-1.083969,-6.977099
0.581543,0.157959,0.802734,-0.221374,-1.374046,-9.648855
0.582764,0.153809,0.793213,-0.038168,-2.351145,-12.824428
0.591309,0.151611,0.806885,-0.427481,-3.183206,-16.091602
0.612549,0.154297,0.811035,-1.045802,-3.671756,-20.312977
0.617676,0.153809,0.820801,-0.534351,-4.832061,-25.732824
0.626221,0.149658,0.825684,-0.053435,-3.618321,-30.763359
0.635742,0.148438,0.841797,-0.198473,-2.916031,-35.564884
0.618408,0.149414,0.824219,-0.740458,-2.091603,-38.328243
0.592041,0.144287,0.831543,-1.442748,-2.839695,-40.022900
0.569336,0.146729,0.806152,-0.091603,-4.801527,-38.610687
0.542236,0.130127,0.810791,2.190840,-7.251908,-36.893131
0.550781,0.148926,0.817139,3.145038,-8.427481,-33.938931
0.570068,0.156982,0.796875,4.038168,-8.503817,-32.824429
0.601074,0.152344,0.806396,3.748092,-3.648855,-33.648853
0.643311,0.150391,0.802246,3.251908,1.732824,-38.122139
0.663574,0.154053,0.815918,2.587786,6.763359,-44.267174
0.685547,0.155518,0.807129,2.412214,13.770992,-51.343510
0.672363,0.158691,0.800537,2.885496,14.656488,-56.961834
0.656006,0.165527,0.807373,4.595420,9.961832,-61.358780
0.628906,0.159668,0.788818,5.549618,1.694656,-62.633587
0.621826,0.170898,0.796631,4.916030,-3.435115,-63.351147
0.600830,0.171875,0.780518,3.603053,-11.832061,-64.374046
0.595703,0.171143,0.779541,0.427481,-12.870229,-61.778625
0.590088,0.178467,0.776611,-1.351145,-9.022901,-56.541985
0.626221,0.157959,0.756104,-1.992366,3.778626,-54.633587
0.637695,0.159180,0.814453,-4.152672,7.625954,-54.893131
0.689941,0.143311,0.789062,-2.335878,17.244274,-58.549618
0.686523,0.153809,0.790039,-1.206107,24.709923,-59.740459
0.661621,0.147949,0.815186,-0.992366,23.748091,-61.786259
0.697021,0.141113,0.827393,-1.916031,25.152672,-66.916031
0.708496,0.135986,0.837646,-5.213740,26.938931,-72.938934
0.668457,0.135498,0.850830,-7.519084,26.480917,-76.549622
0.613525,0.131104,0.827881,-8.053435,25.610687,-74.961830
0.557373,0.129150,0.833984,-6.343512,20.419847,-69.282440
0.511963,0.125000,0.810303,-3.908397,14.290076,-62.320610
0.493164,0.126953,0.780029,-2.549618,8.618320,-54.198475
0.470947,0.135010,0.790039,-0.816794,6.465649,-46.343510
0.535400,0.156006,0.755859,-3.870229,9.320611,-39.183205
0.554932,0.117188,0.795410,-2.358779,13.290076,-36.320610
0.639893,0.118652,0.790527,-1.404580,19.435114,-39.549618
0.688477,0.133545,0.778809,-0.992366,24.786259,-45.305344
0.719727,0.150391,0.795410,-2.664122,34.503819,-50.175571
0.708008,0.147705,0.792725,-5.396946,40.068703,-56.778625
0.698242,0.144775,0.805664,-7.549618,42.954197,-61.442749
0.657959,0.141357,0.798828,-7.221374,42.061069,-65.709923
0.611816,0.141113,0.794189,-5.992366,37.473282,-65.931297
0.558594,0.141602,0.793701,-5.213740,29.251909,-64.328247
0.518311,0.133545,0.799805,-4.183206,20.679390,-59.122139
0.499756,0.136475,0.797119,-2.091603,13.923664,-53.328243
0.518311,0.125488,0.772217,-2.977099,6.671756,-47.106869
0.523926,0.110596,0.790039,1.022901,13.480916,-44.633587
0.567139,0.141602,0.790283,-0.145038,16.557251,-42.641220
0.610352,0.108643,0.796875,5.381680,22.938931,-44.687023
0.647705,0.111084,0.809570,8.977099,26.221375,-46.923664
0.676758,0.131348,0.801758,8.839695,29.022902,-52.167938
0.701660,0.133301,0.803223,6.595420,34.709923,-60.137405
0.699219,0.130859,0.796143,4.870229,38.465649,-67.885498
0.658936,0.126953,0.802002,4.969466,36.320610,-74.366409
0.642334,0.142334,0.799561,3.053435,31.519083,-76.664124
0.571289,0.139404,0.798096,2.839695,26.167938,-78.511452
0.523682,0.135254,0.808594,1.328244,17.366413,-77.213737
0.497803,0.145752,0.797119,4.091603,9.671756,-71.648857
0.485840,0.133545,0.790527,11.335877,4.435114,-64.053436
0.500977,0.130127,0.793213,16.587786,1.908397,-57.931297
0.560547,0.142578,0.767090,19.206106,5.847328,-54.328243
0.650635,0.159912,0.774170,14.045801,19.618320,-55.000000
0.645508,0.139893,0.789551,11.351145,28.145039,-58.541985
0.699707,0.141357,0.770264,8.473283,40.633587,-62.198475
0.713867,0.132568,0.806152,6.908397,46.396946,-68.725189
0.750488,0.131836,0.789795,5.022901,51.396946,-77.442749
0.698730,0.129883,0.797363,2.900763,49.328243,-86.412216
0.652588,0.142090,0.795654,1.183206,43.320610,-92.343513
0.598389,0.146240,0.814697,2.770992,31.732824,-93.824425
0.556396,0.142334,0.808838,5.748092,15.351145,-94.244278
0.582031,0.128174,0.810303,10.000000,6.091603,-94.335876
0.578369,0.136963,0.806641,15.442748,1.633588,-94.419846
0.580078,0.155029,0.829834,18.732824,0.152672,-91.389313
0.597168,0.134766,0.800293,20.015266,3.022901,-88.282440
0.616699,0.162598,0.800049,16.473282,7.366412,-86.022903
0.654541,0.182617,0.765381,11.137404,17.343512,-84.786263
0.694092,0.195068,0.772217,4.900764,27.030535,-84.236641
0.711670,0.189697,0.767578,-0.335878,35.099236,-86.343513
0.725098,0.180420,0.781494,-7.236641,43.404579,-89.839691
0.737549,0.190430,0.783203,-13.900764,51.129772,-92.908394
0.686035,0.180176,0.796875,-18.557251,53.137405,-95.030533
0.619873,0.169678,0.824707,-19.473282,47.702290,-94.908394
0.557129,0.157959,0.813477,-18.473282,35.984734,-93.068703
0.557861,0.178955,0.792236,-17.664122,23.206106,-89.847328
0.552490,0.175537,0.784180,-14.618320,13.763359,-86.755722
0.563477,0.160889,0.810547,-10.595420,7.664122,-83.038170
0.555176,0.150391,0.811523,-6.671756,6.381680,-77.022903
0.574463,0.145996,0.831543,-3.137405,14.595420,-69.381676
0.607422,0.135010,0.830566,1.648855,21.564886,-64.305344
0.654053,0.121582,0.813721,4.442748,28.595419,-63.480915
0.675781,0.142090,0.788086,2.603053,37.389313,-64.610687
0.652344,0.156738,0.773682,-2.687023,40.969467,-65.244278
0.633545,0.153320,0.771484,-6.816794,38.305344,-66.083969
0.633301,0.132080,0.777344,-9.236641,33.717556,-69.236641
0.604492,0.128174,0.767578,-10.961832,25.916031,-71.893127
0.561768,0.133301,0.761963,-13.175572,14.992367,-72.381676
0.571533,0.149414,0.757080,-18.213741,5.717557,-70.801529
0.604736,0.144043,0.755371,-23.671755,5.595420,-70.374046
0.638428,0.148682,0.758789,-27.687023,12.954199,-69.809158
0.635498,0.141846,0.757568,-27.755726,20.832062,-67.687019
0.622559,0.179932,0.742188,-27.480917,29.717558,-63.419846
0.629395,0.106689,0.786133,-22.282442,37.694656,-58.435116
0.584473,0.105469,0.801025,-21.931297,39.236641,-55.809162
0.595459,0.082275,0.788818,-20.366413,41.221375,-56.824429
0.563232,0.087891,0.839844,-19.259542,37.534351,-55.076336
0.552002,0.067139,0.840820,-14.190840,29.022902,-55.702290
0.563232,0.051025,0.867920,-9.221375,21.290077,-56.541985
0.556396,0.037842,0.841064,-3.748092,10.022901,-58.778625
0.612793,0.060791,0.807617,-2.160305,4.610687,-62.076336
0.637451,0.071289,0.792725,-3.648855,1.954198,-64.167938
0.605957,0.079590,0.802002,-6.351145,0.381679,-64.572517
0.625977,0.092285,0.777832,-9.725191,2.702290,-62.877861
0.616943,0.095215,0.771240,-13.458015,8.396947,-59.847328
0.633301,0.091064,0.775635,-15.068703,18.244274,-56.893131
0.620605,0.093994,0.800293,-15.755725,27.030535,-52.656490
0.617188,0.091064,0.779785,-14.381680,32.427483,-51.061069
0.622803,0.091309,0.771240,-13.274809,35.900764,-50.664124
0.636719,0.100342,0.765869,-10.793893,36.488548,-51.038166
0.654053,0.095703,0.759766,-10.099236,33.030533,-54.702290
0.674561,0.109619,0.759033,-12.473283,27.847328,-61.221375
0.681396,0.134521,0.739502,-16.877863,24.267176,-67.725189
0.651611,0.122803,0.772217,-20.396946,19.251909,-69.824425
0.612305,0.116699,0.766357,-18.969465,13.809160,-69.396950
0.588867,0.129395,0.763184,-17.435114,8.549619,-66.793892
0.603271,0.130859,0.759277,-16.091602,9.160305,-64.167938
0.607178,0.134033,0.736328,-14.717557,12.656488,-62.137405
0.624268,0.130615,0.731689,-15.213740,16.732824,-59.687023
0.630859,0.118896,0.739990,-16.396946,21.099237,-58.496181
0.632568,0.122559,0.758301,-17.480917,28.366413,-55.244274
0.584473,0.094971,0.744385,-18.290077,27.198473,-53.809162
0.608398,0.111084,0.737793,-18.702290,26.053434,-53.335876
0.585938,0.102051,0.762207,-18.366413,25.412214,-52.160305
0.571045,0.080078,0.766357,-17.740458,18.282442,-51.877861
0.550293,0.082275,0.738525,-19.893129,10.648855,-51.381680
0.567383,0.081543,0.739746,-21.519083,8.114504,-51.442749
0.582275,0.068604,0.767578,-21.625954,8.969465,-49.748093
0.567139,0.057129,0.767822,-19.557251,10.297709,-46.946564
0.577393,0.054199,0.761475,-17.885496,13.068703,-44.809162
0.569336,0.069580,0.788818,-17.404581,16.748091,-39.572517
0.585205,0.067627,0.774170,-15.343512,19.564886,-36.648853
0.608643,0.069824,0.786621,-13.290076,19.740458,-33.977100
0.634766,0.054443,0.791748,-12.145039,19.832062,-34.396946
0.668701,0.044434,0.805908,-11.931297,21.824427,-37.961834
0.662842,0.041748,0.822998,-9.648855,20.152672,-40.969467
0.672607,0.023682,0.789307,-8.114504,16.381680,-41.145039
0.597900,0.037109,0.792969,-8.625955,10.244275,-45.244274
0.618896,0.047607,0.794434,-10.900764,10.450381,-46.221375
0.617188,0.056396,0.762451,-12.603053,10.625955,-44.122139
0.586426,0.062012,0.750977,-15.587787,9.603053,-41.465649
0.613037,0.072021,0.730957,-18.603054,14.832061,-37.328243
0.597412,0.052002,0.759277,-19.007633,23.251909,-33.114502
0.608643,0.043457,0.756836,-17.916031,28.625954,-29.076336
0.604492,0.031494,0.778320,-16.862595,31.099237,-27.374046
0.621094,0.026855,0.793945,-15.206107,34.015266,-27.335878
0.619873,0.002686,0.819336,-11.931297,31.488550,-28.435114
0.611816,0.003174,0.825684,-9.160305,25.755726,-30.038168
0.604004,0.038330,0.786133,-8.274809,18.908398,-31.061069
0.645020,0.043457,0.780273,-10.129771,16.221375,-33.549618
0.637695,0.062500,0.734863,-13.083969,14.465649,-35.465649
0.649170,0.066650,0.719727,-16.717558,15.106871,-36.213741
0.656006,0.073486,0.696289,-16.801527,19.633587,-37.320610
0.609619,0.052490,0.705322,-15.725191,20.633587,-35.290077
0.608887,0.046387,0.703125,-15.595420,22.900763,-32.748093
0.605469,0.035889,0.729980,-15.931297,25.648855,-30.229008
0.611084,0.026611,0.742920,-13.305344,27.648855,-27.396946
0.625244,0.007324,0.799072,-10.000000,33.282444,-26.671755
0.598145,-0.036133,0.810791,-9.076336,30.541985,-25.801527
0.634277,0.034668,0.740967,-7.847328,29.450382,-26.198473
0.656250,0.019531,0.745117,-7.587786,29.389313,-27.160305
0.658936,0.012451,0.735596,-6.198473,27.053434,-31.053434
0.630859,0.028564,0.723877,-7.274809,25.389313,-32.931297
0.574951,0.031982,0.696533,-9.244275,18.198473,-33.366413
0.614746,0.035400,0.675537,-11.824428,16.419847,-32.793892
0.617676,0.031738,0.667236,-13.160305,15.160305,-32.389313
0.607666,0.030762,0.698730,-14.923664,14.740458,-31.450382
0.629639,0.035156,0.704834,-14.206107,17.694656,-29.732824
0.648438,0.020264,0.750977,-12.244275,22.908398,-28.442749
0.633301,0.027832,0.755615,-10.404580,24.603054,-28.022902
0.626953,0.016357,0.776855,-7.236641,25.305344,-29.061069
0.640381,0.011230,0.763184,-3.587786,24.603054,-31.068703
0.649902,0.019043,0.732178,-0.496183,24.763359,-35.465649
0.611816,0.044434,0.724365,-0.374046,17.717558,-35.541985
0.607666,0.044189,0.682129,-3.045802,14.312977,-36.450382
0.606689,0.059814,0.666504,-8.282443,14.381680,-36.068703
0.623779,0.072021,0.668945,-12.045801,17.534351,-34.412212
0.608398,0.066650,0.694092,-15.992367,20.847328,-30.854961
0.599854,0.060791,0.687988,-20.061069,20.564886,-28.366413
0.655518,0.065186,0.698242,-23.732824,25.633587,-28.068703
0.663086,0.038330,0.715576,-24.335878,28.969465,-29.419847
0.650879,0.010986,0.728760,-22.938931,27.885496,-32.129772
0.626709,-0.002930,0.759521,-19.839695,28.725191,-34.114502
0.631592,-0.031982,0.762451,-12.358779,31.236641,-36.702290
0.604248,-0.029541,0.791504,-3.175573,27.900763,-36.396946
0.580078,-0.035889,0.751465,4.305344,19.816793,-35.671757
0.588379,0.006592,0.705811,3.862595,11.763359,-37.068703
0.630127,0.029053,0.667969,0.877863,16.816793,-39.152672
0.620605,0.028320,0.673584,-1.282443,16.824427,-37.480915
0.584961,0.005127,0.674805,-1.671756,18.488550,-34.778625
0.567139,-0.009521,0.708984,-3.870229,24.274809,-33.320610
0.552490,-0.018555,0.704102,-10.580153,20.221375,-29.832062
0.586914,-0.005127,0.687256,-18.358778,20.717558,-30.198473
0.598389,-0.018311,0.706543,-22.007633,25.320610,-30.702290
0.589355,-0.034180,0.725830,-22.183207,24.916031,-28.480917
0.580078,-0.039551,0.731689,-21.389313,23.763359,-27.740458
0.595215,-0.054443,0.776855,-21.938931,28.122137,-26.435114
0.578369,-0.051025,0.787598,-19.083969,28.282442,-24.412214
0.571533,-0.071533,0.781494,-13.854961,23.259542,-24.374046
0.598633,-0.064697,0.788574,-8.282443,19.022902,-26.503817
0.599121,-0.068848,0.788330,-3.244275,17.534351,-28.610687
0.605957,-0.081787,0.779053,2.015267,17.908398,-28.839695
0.610352,-0.073486,0.752441,4.389313,17.114504,-30.526718
0.604980,-0.054688,0.711426,1.824427,15.702291,-32.297710
0.593750,-0.036621,0.666992,-3.519084,16.381680,-32.374046
0.600586,-0.031006,0.683350,-8.977099,21.595419,-29.725191
0.573486,-0.034668,0.687744,-13.770992,25.763359,-26.259542
0.554443,-0.023926,0.685791,-17.129770,27.038168,-22.748091
0.600342,-0.011719,0.671875,-20.366413,31.160305,-20.511450
0.620605,-0.011475,0.708496,-22.259542,36.213741,-21.244274
0.633545,-0.006348,0.720215,-22.572519,38.404579,-23.175573
0.614502,-0.007080,0.716797,-19.839695,34.022900,-25.633587
0.602295,-0.020996,0.750000,-15.305344,32.389313,-26.435114
0.583008,-0.050293,0.745850,-11.167939,26.923664,-29.122137
0.600830,-0.031982,0.697998,-12.541985,22.877863,-30.572519
0.589600,-0.013916,0.669922,-16.526718,22.763359,-32.465649
0.585205,-0.004639,0.666016,-17.282442,28.900763,-30.801527
0.532471,-0.037109,0.675537,-16.358778,31.694656,-27.580153
0.534912,-0.030518,0.654053,-15.801527,35.297710,-23.854961
0.556396,-0.015869,0.659668,-16.503817,40.977100,-20.114504
0.557373,-0.011963,0.658691,-15.274809,45.106869,-14.755725
0.585938,-0.016846,0.642334,-16.045801,45.099236,-19.091602
0.550293,-0.022461,0.646973,-20.748091,40.183205,-22.160305
0.545898,-0.030273,0.637207,-23.229008,39.916031,-25.427481
0.513916,-0.024902,0.630127,-20.679390,34.564884,-26.435114
0.499023,-0.052246,0.658203,-17.335878,31.152672,-25.839695
0.490723,-0.053955,0.657227,-15.320611,27.541985,-24.374046
0.505615,-0.036621,0.657471,-17.587786,23.000000,-22.938931
0.552490,-0.066650,0.679932,-16.045801,26.129770,-22.671755
0.580078,-0.072510,0.708984,-10.763359,33.618320,-20.832062
0.556885,-0.095947,0.725830,-5.396946,33.740459,-19.725191
0.535156,-0.099121,0.718018,-5.625954,30.770992,-21.244274
0.584229,-0.106934,0.721924,-6.603054,36.580154,-25.297710
0.580322,-0.108154,0.665527,-5.610687,38.488548,-28.656488
0.536377,-0.087402,0.617432,-6.954198,33.022900,-29.404581
0.527344,-0.072021,0.591553,-12.770992,32.167938,-30.129770
0.534912,-0.054688,0.543701,-22.870230,31.297710,-30.557251
0.500488,-0.048584,0.521973,-32.297710,26.839695,-29.717558
0.473633,-0.062012,0.571533,-34.816795,25.450382,-26.358778
0.437256,-0.084717,0.647705,-33.282444,22.664122,-20.900763
0.465088,-0.106201,0.691650,-30.770992,22.580153,-17.816793
0.518799,-0.086670,0.730713,-30.793894,24.709923,-17.778625
0.554443,-0.077881,0.754883,-27.244274,29.511450,-18.679390
0.559814,-0.095215,0.792480,-17.007633,31.770992,-19.709923
0.568604,-0.107178,0.794922,-7.374046,30.770992,-22.152672
