acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.583252,0.037109,0.758057,2.114504,1.351145,3.129771
0.579834,0.048584,0.740234,1.167939,1.152672,3.305344
0.588379,0.044189,0.749023,0.824427,1.633588,3.557252
0.572266,0.044922,0.751465,0.419847,0.137405,3.603053
0.568604,0.041016,0.751465,0.022901,1.885496,3.312977
0.573730,0.048340,0.756104,-0.221374,0.778626,2.770992
0.576416,0.037354,0.753662,0.877863,-0.824427,1.694656
0.575684,0.046631,0.747803,0.740458,-1.687023,1.664122
0.571533,0.046631,0.744385,1.030534,-3.221374,2.000000
0.576660,0.049072,0.750244,0.641221,-3.022901,3.145038
0.555176,0.040039,0.738770,1.687023,-4.877862,4.396946
0.544922,0.053467,0.742432,2.442748,-7.671756,6.312977
0.524414,0.049805,0.733154,3.007634,-10.541985,8.709924
0.540771,0.054932,0.723389,3.198473,-11.816793,11.534351
0.545166,0.063965,0.738037,3.206107,-10.473283,14.068703
0.534180,0.068359,0.748535,2.442748,-10.374045,15.984733
0.556396,0.060059,0.739502,1.274809,-10.641221,17.290077
0.594482,0.061035,0.746338,1.412214,-4.717557,18.816793
0.568604,0.054688,0.743896,0.969466,-5.557252,19.129770
0.608398,0.054932,0.749268,1.068702,-1.603053,19.702290
0.593506,0.046631,0.770264,2.496183,-2.251908,17.816793
0.605713,0.031982,0.764648,3.824427,-6.320611,16.114504
0.610596,0.042480,0.758057,2.931298,-2.664122,14.572519
0.594238,0.049561,0.767578,1.984733,-2.419847,14.641221
0.566650,0.047852,0.761963,1.152672,-4.977099,14.801527
0.562012,0.048584,0.758545,0.862595,-5.099236,15.908397
0.556641,0.049316,0.761963,1.282443,-5.167939,16.816793
0.549561,0.057373,0.780762,0.931298,-5.648855,18.259542
0.565674,0.047119,0.774414,0.229008,-5.778626,18.854961
0.576660,0.050537,0.772461,-0.480916,-4.091603,18.961832
0.572021,0.052246,0.785156,-0.259542,-5.938931,18.916031
0.594971,0.054932,0.792236,0.511450,-4.725191,19.251909
0.587646,0.049316,0.798584,2.122137,-3.541985,18.832062
0.591064,0.057617,0.790527,2.267176,-0.503817,18.702290
0.572754,0.051270,0.791260,2.862595,-1.351145,18.664122
0.560791,0.051270,0.783936,3.038168,-3.809160,18.893129
0.563477,0.054199,0.777832,2.877863,-0.992366,18.908398
0.560303,0.055664,0.778564,3.442748,-2.328244,18.427481
0.569580,0.059082,0.775146,3.618321,-2.007634,17.801527
0.561768,0.055664,0.771240,3.473282,-1.480916,18.229008
0.548584,0.057373,0.749268,2.145038,-1.015267,19.351145
0.535400,0.062744,0.749512,1.160305,-2.633588,20.770992
0.526611,0.060547,0.748779,1.297710,-5.618320,21.694656
0.522461,0.062256,0.755371,1.816794,-10.320611,22.839695
0.522217,0.061523,0.762207,2.564885,-11.748092,24.282442
0.567383,0.070068,0.757080,0.717557,-0.877863,27.755726
0.499268,0.055908,0.759766,2.282443,-7.625954,29.358778
0.533203,0.072998,0.745361,0.893130,-2.969466,30.992367
0.524658,0.062988,0.749756,0.450382,-8.053435,32.122139
0.546631,0.062012,0.739990,0.358779,-6.458015,32.717556
0.553467,0.070068,0.736816,-0.183206,-5.793893,32.870228
0.555176,0.073486,0.734375,-1.442748,-6.633588,32.954197
0.552490,0.074219,0.730469,-2.847328,-8.488549,32.366413
0.547119,0.075195,0.729004,-4.183206,-11.290076,32.595421
0.536865,0.080566,0.731201,-5.893130,-13.870229,33.083969
0.551514,0.075195,0.742676,-6.320611,-16.114504,32.603054
0.563477,0.069824,0.750488,-7.618320,-18.083969,30.938931
0.578857,0.063965,0.753174,-7.335878,-17.473282,28.694656
0.593262,0.049316,0.768311,-4.145038,-14.648855,25.709923
0.577637,0.055908,0.787842,-2.167939,-10.465649,23.244274
0.583984,0.068359,0.778809,-2.549618,-5.954198,23.274809
0.577881,0.062744,0.783936,-1.961832,-6.549618,22.358778
0.573242,0.071045,0.777100,-1.465649,-6.709924,21.770992
0.558838,0.071045,0.782227,-1.190840,-7.404580,21.809160
0.552979,0.059326,0.783936,-1.244275,-10.374045,21.938931
0.539307,0.066895,0.771240,-2.259542,-9.442748,22.809160
0.519043,0.071289,0.774170,-2.938931,-14.137404,24.366413
0.506348,0.064941,0.765625,-2.748092,-17.259542,25.267176
0.513184,0.071289,0.764648,-4.526718,-17.961832,26.740458
0.503418,0.057861,0.766357,-5.206107,-21.893129,28.068703
0.520020,0.069824,0.765869,-5.709924,-19.885496,29.511450
0.525146,0.068848,0.771729,-4.824428,-22.068703,29.893129
0.536377,0.068359,0.768066,-3.801527,-20.656488,30.198473
0.547607,0.063965,0.772217,-2.725191,-20.595419,30.312977
0.555176,0.052002,0.789795,1.274809,-19.969465,29.206106
0.590820,0.052002,0.798096,2.038168,-13.381680,27.595419
0.541504,0.054688,0.780762,2.755725,-18.114504,26.977098
0.549072,0.057373,0.764648,1.389313,-23.687023,28.450382
0.534180,0.065674,0.771973,-0.564885,-25.175573,30.587786
0.534912,0.086182,0.760498,-2.251908,-27.862595,32.099236
0.530273,0.066895,0.754395,-3.335878,-30.198473,31.832062
0.561523,0.070312,0.724365,-4.160306,-24.053434,30.213741
0.546387,0.065430,0.747803,-5.213740,-35.083969,35.045803
0.567383,0.062744,0.748779,-6.870229,-27.480917,33.015266
0.561035,0.075928,0.734375,-6.351145,-27.335878,31.458015
0.588867,0.073730,0.746826,-5.801527,-24.984734,29.832062
0.579590,0.063477,0.766846,-1.824427,-28.564886,27.305344
0.605469,0.067871,0.794922,-0.206107,-28.297710,27.061069
0.647461,0.060547,0.773682,0.977099,-14.114504,25.068703
0.567139,0.058350,0.772705,3.755725,-19.572519,21.946566
0.603760,0.087646,0.770020,1.748092,-14.198473,21.786259
0.596924,0.079102,0.781982,1.396947,-14.022901,19.862595
0.612549,0.075439,0.776855,2.229008,-7.656488,19.603054
0.566406,0.075928,0.780029,3.290076,-11.679389,17.725191
0.579102,0.096191,0.780518,0.740458,-12.938931,17.595419
0.585205,0.074219,0.756592,0.977099,-10.389313,18.152672
0.571777,0.083008,0.767578,0.702290,-10.480916,18.679390
0.553467,0.085938,0.768311,0.335878,-9.091603,19.809160
0.557129,0.078369,0.779785,0.610687,-8.419847,21.045801
0.508057,0.084717,0.779785,2.099237,-18.786259,23.366413
0.566162,0.077881,0.757568,3.099237,-12.122137,22.442749
