acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.124023,-0.204102,0.818848,-0.793893,0.549618,-3.251908
0.121826,-0.214844,0.822998,-1.343511,1.801527,-3.419847
0.104980,-0.207031,0.829834,-2.297710,2.473282,-3.091603
0.101807,-0.218750,0.834473,-2.778626,2.068702,-3.160305
0.094238,-0.221680,0.830566,-3.198473,0.068702,-3.122137
0.083496,-0.220703,0.825928,-4.229008,-1.000000,-3.000000
0.069580,-0.223145,0.822998,-4.954198,-0.916031,-2.381679
0.079102,-0.218994,0.833740,-5.786260,0.664122,-1.572519
0.076172,-0.233398,0.835449,-5.412214,0.862595,-1.389313
0.072021,-0.227783,0.853760,-5.496183,0.862595,-1.091603
0.074463,-0.224854,0.854980,-5.473282,0.801527,0.076336
0.076904,-0.219971,0.862549,-5.595420,1.763359,0.671756
0.093018,-0.221436,0.837891,-6.656488,4.137404,0.274809
0.095459,-0.229980,0.854004,-6.213740,2.770992,-0.786260
0.106934,-0.239990,0.862793,-4.572519,2.847328,-2.198473
0.086670,-0.238281,0.875732,-3.236641,-0.740458,-2.267176
0.077881,-0.234619,0.870850,-2.961832,-2.694656,-2.702290
0.067871,-0.241211,0.871826,-3.396947,-3.572519,-2.541985
0.032715,-0.237793,0.845459,-2.679389,-11.129771,-2.015267
0.047363,-0.230957,0.827148,-4.488550,-11.221375,-1.106870
0.064941,-0.236572,0.819824,-4.091603,-10.740458,-0.419847
0.063721,-0.240234,0.883301,-2.725191,-12.030535,0.190840
0.069336,-0.250488,0.872559,0.343511,-12.274809,0.778626
0.072266,-0.250977,0.899414,4.625954,-12.007633,2.244275
0.083496,-0.253906,0.916016,9.557252,-9.854961,2.274809
0.107422,-0.255859,0.938721,13.007633,-9.412213,1.381679
0.108643,-0.258789,0.931885,15.564885,-10.221375,-0.007634
0.115479,-0.242188,0.893555,16.488550,-7.488550,-1.274809
0.116943,-0.224365,0.873291,15.152672,-5.931298,-2.320611
0.116699,-0.207031,0.841064,13.053435,-5.946565,-2.572519
0.115723,-0.204102,0.814453,11.106871,-4.908397,-2.351145
0.125732,-0.191406,0.781738,8.725191,-3.847328,-1.488550
0.132568,-0.178467,0.785889,6.396946,-2.916031,-0.816794
0.138672,-0.178711,0.765137,4.755725,-2.770992,-1.832061
0.156250,-0.176758,0.781250,2.702290,-0.580153,-2.770992
0.149902,-0.167725,0.763916,0.618321,2.496183,-1.954198
0.157471,-0.159424,0.763916,-2.793893,6.526718,-0.572519
0.151855,-0.164795,0.749268,-6.587786,7.946565,-0.351145
0.141846,-0.160889,0.728760,-10.908397,9.824428,-0.015267
0.133789,-0.158447,0.718506,-15.183207,9.618320,0.129771
0.136963,-0.165039,0.711182,-22.335878,9.748092,1.839695
