acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.110107,-0.371338,0.783691,-6.847328,-3.862595,-13.366412
0.120361,-0.378662,0.794434,-6.076336,-5.564886,-16.847328
0.117920,-0.390137,0.804199,-4.328244,-8.984733,-21.290077
0.133545,-0.392090,0.805908,-1.832061,-10.587787,-25.122137
0.114502,-0.390869,0.802734,-0.801527,-12.610687,-26.938931
0.108398,-0.381104,0.792725,-1.320611,-13.221375,-27.748091
0.101562,-0.380127,0.776611,-3.099237,-13.801527,-29.335878
0.126709,-0.366455,0.741699,-5.389313,-12.763359,-31.496183
0.130371,-0.364502,0.746094,-8.343512,-11.068703,-32.900764
0.154053,-0.367432,0.739502,-13.038168,-7.595420,-35.687023
0.179199,-0.380371,0.744873,-17.183207,-4.061069,-40.656490
0.197266,-0.395508,0.761963,-19.404581,-1.480916,-46.923664
0.197510,-0.404297,0.772705,-21.625954,-0.877863,-53.671757
0.180908,-0.401611,0.774170,-23.671755,0.038168,-58.587788
0.184814,-0.408691,0.776611,-25.290077,-1.129771,-64.068703
0.191162,-0.411133,0.789795,-26.694656,-2.274809,-69.671753
0.165039,-0.415771,0.793701,-27.229008,0.450382,-72.603050
0.120850,-0.410645,0.809082,-26.954199,2.625954,-71.290077
0.097168,-0.422119,0.813477,-26.358778,6.221374,-68.580154
0.087646,-0.416992,0.791992,-26.770992,11.603053,-65.419846
0.055420,-0.404297,0.772461,-27.160305,13.664123,-61.763359
0.038330,-0.395752,0.754639,-28.381680,14.503817,-55.366413
0.053955,-0.387451,0.752686,-29.748091,14.954199,-49.435116
0.098877,-0.406250,0.771484,-31.977098,16.145039,-46.122139
0.123047,-0.422119,0.778564,-30.625954,17.167938,-45.290077
0.097412,-0.423340,0.788330,-25.992367,13.908397,-43.763359
0.077148,-0.428955,0.806885,-24.442749,10.816793,-40.595421
0.067383,-0.452637,0.822266,-22.961832,9.198473,-38.335876
0.057617,-0.462402,0.831055,-20.877863,5.900764,-36.129772
0.063721,-0.467773,0.830322,-17.412214,2.969466,-34.854961
0.084229,-0.470459,0.813721,-15.007633,0.977099,-34.030533
0.117676,-0.461426,0.793457,-12.709924,0.396947,-34.122139
0.145996,-0.451172,0.758057,-11.419847,1.221374,-36.480915
0.168945,-0.443359,0.750488,-12.145039,0.809160,-40.190838
0.178467,-0.422852,0.706299,-13.900764,1.885496,-43.297710
0.179443,-0.416992,0.708496,-16.351145,1.282443,-45.450382
0.185303,-0.421143,0.721680,-21.236641,4.274809,-46.603054
0.199219,-0.423340,0.742188,-24.221375,9.839695,-48.328243
0.183594,-0.436523,0.768555,-23.603054,10.748092,-49.175571
0.156494,-0.449463,0.800049,-22.992367,10.328244,-48.725189
0.132812,-0.445801,0.792725,-24.648855,9.908397,-45.587788
