acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.042725,-0.374512,0.802734,-1.091603,1.541985,-3.167939
-0.041504,-0.376465,0.797852,-1.656489,1.954198,-2.328244
-0.032715,-0.374756,0.781494,-2.648855,2.458015,-1.625954
-0.041016,-0.374268,0.777100,-3.717557,2.801527,-0.725191
-0.040039,-0.375244,0.781738,-5.503817,3.190840,0.458015
-0.053467,-0.375244,0.777588,-7.610687,2.198473,1.977099
-0.031494,-0.379150,0.779053,-8.038168,2.801527,2.137405
-0.032227,-0.388184,0.790039,-7.412214,1.900763,1.770992
-0.040527,-0.393555,0.805176,-6.396946,1.244275,1.877863
-0.046631,-0.395264,0.811279,-4.938931,0.297710,2.618321
-0.049561,-0.400146,0.816650,-3.793893,-2.564885,2.801527
-0.059570,-0.401611,0.823242,-2.374046,-3.709924,3.740458
-0.072754,-0.401611,0.825684,-1.488550,-3.954198,6.503817
-0.087646,-0.402100,0.815674,-1.641221,-5.557252,9.267176
-0.090332,-0.396240,0.814209,-2.816794,-5.541985,12.946565
-0.089844,-0.391113,0.808594,-2.969466,-4.022901,17.083969
-0.095459,-0.391357,0.798340,-4.335878,-2.977099,20.862595
-0.079834,-0.398926,0.797119,-4.847328,-3.068702,23.473282
-0.064209,-0.396729,0.790771,-5.496183,-3.793893,24.091602
-0.024170,-0.406250,0.791992,-4.580153,-3.702290,23.022902
-0.007080,-0.408936,0.803467,-4.053435,-4.641222,20.595419
0.001221,-0.409180,0.801514,-3.816794,-3.748092,17.679390
0.002930,-0.402832,0.779541,-3.320611,-4.251908,14.671756
-0.013916,-0.389160,0.788818,-3.183206,-4.664122,12.519084
-0.018555,-0.396729,0.786621,-2.969466,-3.045802,11.473283
-0.006348,-0.384766,0.784424,-3.343511,-0.427481,10.374045
-0.020752,-0.382812,0.785889,-4.000000,1.694656,10.541985
-0.030518,-0.379395,0.784668,-5.221374,2.992366,10.824428
-0.033936,-0.373535,0.761230,-6.427481,4.458015,10.793893
-0.016357,-0.379639,0.760986,-6.923664,5.618320,10.030535
-0.012207,-0.377197,0.759521,-7.068702,5.595420,8.625955
-0.008789,-0.382568,0.765625,-6.900764,5.030534,6.793893
-0.015137,-0.372314,0.757812,-6.709924,4.137404,5.664122
-0.024658,-0.378418,0.766357,-6.564886,2.450382,4.816794
-0.038086,-0.372559,0.753906,-6.221374,1.687023,5.015267
-0.047852,-0.375000,0.763916,-6.061069,-0.389313,5.435114
-0.052490,-0.375732,0.771729,-6.198473,-1.450382,6.083970
-0.050537,-0.379883,0.784180,-5.877862,-1.427481,7.862596
-0.071289,-0.389160,0.782959,-5.282443,-1.549618,10.091603
-0.095215,-0.383057,0.785645,-5.862596,-3.091603,14.221375
-0.106201,-0.391113,0.783936,-6.167939,-3.946565,17.946566
-0.122559,-0.399170,0.783447,-6.328244,-5.458015,21.572519
-0.097412,-0.394531,0.792725,-6.793893,-6.732824,24.847328
-0.095459,-0.400391,0.793701,-6.679389,-9.068703,26.908398
-0.075684,-0.407227,0.791016,-6.236641,-11.885496,27.702290
-0.056152,-0.400635,0.783447,-5.961832,-14.137404,28.106871
-0.051025,-0.392822,0.785156,-5.671756,-16.320610,27.870230
-0.048096,-0.385742,0.781006,-5.511450,-19.366413,28.282442
-0.052734,-0.388916,0.779053,-4.511450,-22.992367,28.702290
